Line,Stop,Date,Real_date,Score
7,5354H,20210901 - 20210917,20210915,89.99
7,5354H,20210901 - 20210917,20210916,92.18
7,5354H,20210901 - 20210917,20210917,92.88
7,1048F,20210901 - 20210917,20210906,71.32
7,1048F,20210901 - 20210917,20210907,93.8
7,1048F,20210901 - 20210917,20210908,95.73
7,1048F,20210901 - 20210917,20210909,91.24
7,1048F,20210901 - 20210917,20210910,91.64
7,1048F,20210901 - 20210917,20210911,88.68
7,1048F,20210901 - 20210917,20210912,50.92
7,1048F,20210901 - 20210917,20210913,84.39
7,1048F,20210901 - 20210917,20210914,88.12
7,1048F,20210901 - 20210917,20210915,94.22
7,1048F,20210901 - 20210917,20210916,96.43
7,1048F,20210901 - 20210917,20210917,92.27
7,2351F,20210901 - 20210917,20210906,40.71
7,2351F,20210901 - 20210917,20210907,62.03
7,2351F,20210901 - 20210917,20210908,61.95
7,2351F,20210901 - 20210917,20210909,63.29
7,2351F,20210901 - 20210917,20210910,51.09
7,2351F,20210901 - 20210917,20210911,24.63
7,2351F,20210901 - 20210917,20210912,0.0
7,2351F,20210901 - 20210917,20210913,64.57
7,2351F,20210901 - 20210917,20210914,57.24
7,2351F,20210901 - 20210917,20210915,60.92
7,2351F,20210901 - 20210917,20210916,59.13
7,2351F,20210901 - 20210917,20210917,63.99
7,5221F,20210901 - 20210917,20210906,69.71
7,5221F,20210901 - 20210917,20210907,93.37
7,5221F,20210901 - 20210917,20210908,77.7
7,5221F,20210901 - 20210917,20210909,89.91
7,5221F,20210901 - 20210917,20210910,87.75
7,5221F,20210901 - 20210917,20210911,85.89
7,5221F,20210901 - 20210917,20210912,46.21
7,5221F,20210901 - 20210917,20210913,86.53
7,5221F,20210901 - 20210917,20210914,92.02
7,5221F,20210901 - 20210917,20210915,87.8
7,5221F,20210901 - 20210917,20210916,89.53
7,5221F,20210901 - 20210917,20210917,86.67
7,5222F,20210901 - 20210917,20210906,80.36
7,5222F,20210901 - 20210917,20210907,95.44
7,5222F,20210901 - 20210917,20210908,94.47
7,5222F,20210901 - 20210917,20210909,96.24
7,5222F,20210901 - 20210917,20210910,93.29
7,5222F,20210901 - 20210917,20210911,94.72
7,5222F,20210901 - 20210917,20210912,52.25
7,5222F,20210901 - 20210917,20210913,89.57
7,5222F,20210901 - 20210917,20210914,90.69
7,5222F,20210901 - 20210917,20210915,92.32
7,5222F,20210901 - 20210917,20210916,95.77
7,5222F,20210901 - 20210917,20210917,96.28
7,5253,20210901 - 20210917,20210906,82.13
7,5253,20210901 - 20210917,20210907,94.82
7,5253,20210901 - 20210917,20210908,94.55
7,5253,20210901 - 20210917,20210909,96.86
7,5253,20210901 - 20210917,20210910,95.03
7,5253,20210901 - 20210917,20210911,90.14
7,5253,20210901 - 20210917,20210912,52.47
7,5253,20210901 - 20210917,20210913,96.84
7,5253,20210901 - 20210917,20210914,92.63
7,5253,20210901 - 20210917,20210915,91.22
7,5253,20210901 - 20210917,20210916,95.93
7,5253,20210901 - 20210917,20210917,95.61
7,5254,20210901 - 20210917,20210906,81.28
7,5254,20210901 - 20210917,20210907,93.98
7,5254,20210901 - 20210917,20210908,93.69
7,5254,20210901 - 20210917,20210909,93.68
7,5254,20210901 - 20210917,20210910,95.81
7,5254,20210901 - 20210917,20210911,90.94
7,5254,20210901 - 20210917,20210912,51.71
7,5254,20210901 - 20210917,20210913,94.55
7,5254,20210901 - 20210917,20210914,91.09
7,5254,20210901 - 20210917,20210915,94.63
7,5254,20210901 - 20210917,20210916,96.08
7,5254,20210901 - 20210917,20210917,91.13
7,5255F,20210901 - 20210917,20210906,80.94
7,5255F,20210901 - 20210917,20210907,92.81
7,5255F,20210901 - 20210917,20210908,91.25
7,5255F,20210901 - 20210917,20210909,88.91
7,5255F,20210901 - 20210917,20210910,94.38
7,5255F,20210901 - 20210917,20210911,88.08
7,5255F,20210901 - 20210917,20210912,47.04
7,5255F,20210901 - 20210917,20210913,96.61
7,5255F,20210901 - 20210917,20210914,94.98
7,5255F,20210901 - 20210917,20210915,96.85
7,5255F,20210901 - 20210917,20210916,95.76
7,5255F,20210901 - 20210917,20210917,89.11
7,5256F,20210901 - 20210917,20210906,74.84
7,5256F,20210901 - 20210917,20210907,86.95
7,5256F,20210901 - 20210917,20210908,93.93
7,5256F,20210901 - 20210917,20210909,94.46
7,5256F,20210901 - 20210917,20210910,92.77
7,5256F,20210901 - 20210917,20210911,91.19
7,5256F,20210901 - 20210917,20210912,51.44
7,5256F,20210901 - 20210917,20210913,92.85
7,5256F,20210901 - 20210917,20210914,94.76
7,5256F,20210901 - 20210917,20210915,95.49
7,5256F,20210901 - 20210917,20210916,96.24
7,5256F,20210901 - 20210917,20210917,95.72
7,5258,20210901 - 20210917,20210906,70.03
7,5258,20210901 - 20210917,20210907,85.41
7,5258,20210901 - 20210917,20210908,90.03
7,5258,20210901 - 20210917,20210909,89.91
7,5258,20210901 - 20210917,20210910,94.64
7,5258,20210901 - 20210917,20210911,94.09
7,5258,20210901 - 20210917,20210912,45.13
7,5258,20210901 - 20210917,20210913,86.97
7,5258,20210901 - 20210917,20210914,91.88
7,5258,20210901 - 20210917,20210915,89.31
7,5258,20210901 - 20210917,20210916,87.27
7,5258,20210901 - 20210917,20210917,92.97
7,9963F,20210901 - 20210917,20210906,88.04
7,9963F,20210901 - 20210917,20210907,94.03
7,9963F,20210901 - 20210917,20210908,93.52
7,9963F,20210901 - 20210917,20210909,95.69
7,9963F,20210901 - 20210917,20210910,94.43
7,9963F,20210901 - 20210917,20210911,97.03
7,9963F,20210901 - 20210917,20210912,92.12
7,9963F,20210901 - 20210917,20210913,97.4
7,9963F,20210901 - 20210917,20210914,96.91
7,9963F,20210901 - 20210917,20210915,93.0
7,9963F,20210901 - 20210917,20210916,98.81
7,9963F,20210901 - 20210917,20210917,91.87
7,1049F,20210901 - 20210917,20210906,68.84
7,1049F,20210901 - 20210917,20210907,81.43
7,1049F,20210901 - 20210917,20210908,82.25
7,1049F,20210901 - 20210917,20210909,88.47
7,1049F,20210901 - 20210917,20210910,85.4
7,1049F,20210901 - 20210917,20210911,96.02
7,1049F,20210901 - 20210917,20210912,57.5
7,1049F,20210901 - 20210917,20210913,82.74
7,1049F,20210901 - 20210917,20210914,89.13
7,1049F,20210901 - 20210917,20210915,83.53
7,1049F,20210901 - 20210917,20210916,86.44
7,1049F,20210901 - 20210917,20210917,83.36
7,3481,20210901 - 20210917,20210906,73.59
7,3481,20210901 - 20210917,20210907,81.54
7,3481,20210901 - 20210917,20210908,85.1
7,3481,20210901 - 20210917,20210909,86.43
7,3481,20210901 - 20210917,20210910,82.79
7,3481,20210901 - 20210917,20210911,93.6
7,3481,20210901 - 20210917,20210912,58.04
7,3481,20210901 - 20210917,20210913,85.71
7,3481,20210901 - 20210917,20210914,91.65
7,3481,20210901 - 20210917,20210915,85.92
7,3481,20210901 - 20210917,20210916,86.93
7,3481,20210901 - 20210917,20210917,86.72
7,5208,20210901 - 20210917,20210906,72.52
7,5208,20210901 - 20210917,20210907,87.54
7,5208,20210901 - 20210917,20210908,81.5
7,5208,20210901 - 20210917,20210909,83.52
7,5208,20210901 - 20210917,20210910,83.13
7,5208,20210901 - 20210917,20210911,94.55
7,5208,20210901 - 20210917,20210912,58.59
7,5208,20210901 - 20210917,20210913,84.47
7,5208,20210901 - 20210917,20210914,86.77
7,5208,20210901 - 20210917,20210915,85.42
7,5208,20210901 - 20210917,20210916,85.58
7,5208,20210901 - 20210917,20210917,83.41
7,5210,20210901 - 20210917,20210906,70.35
7,5210,20210901 - 20210917,20210907,84.21
7,5210,20210901 - 20210917,20210908,76.39
7,5210,20210901 - 20210917,20210909,88.7
7,5210,20210901 - 20210917,20210910,86.96
7,5210,20210901 - 20210917,20210911,94.16
7,5210,20210901 - 20210917,20210912,57.88
7,5210,20210901 - 20210917,20210913,81.62
7,5210,20210901 - 20210917,20210914,82.7
7,5210,20210901 - 20210917,20210915,85.04
7,5210,20210901 - 20210917,20210916,89.22
7,5210,20210901 - 20210917,20210917,80.62
7,5211,20210901 - 20210917,20210906,68.38
7,5211,20210901 - 20210917,20210907,84.68
7,5211,20210901 - 20210917,20210908,81.35
7,5211,20210901 - 20210917,20210909,83.67
7,5211,20210901 - 20210917,20210910,82.44
7,5211,20210901 - 20210917,20210911,93.62
7,5211,20210901 - 20210917,20210912,56.22
7,5211,20210901 - 20210917,20210913,84.96
7,5211,20210901 - 20210917,20210914,79.53
7,5211,20210901 - 20210917,20210915,77.05
7,5211,20210901 - 20210917,20210916,81.69
7,5211,20210901 - 20210917,20210917,88.48
7,5212,20210901 - 20210917,20210906,67.51
7,5212,20210901 - 20210917,20210907,77.77
7,5212,20210901 - 20210917,20210908,72.36
7,5212,20210901 - 20210917,20210909,84.88
7,5212,20210901 - 20210917,20210910,82.54
7,5212,20210901 - 20210917,20210911,88.84
7,5212,20210901 - 20210917,20210912,53.04
7,5212,20210901 - 20210917,20210913,89.11
7,5212,20210901 - 20210917,20210914,87.1
7,5212,20210901 - 20210917,20210915,86.95
7,5212,20210901 - 20210917,20210916,83.3
7,5212,20210901 - 20210917,20210917,81.26
7,5213,20210901 - 20210917,20210906,67.28
7,5213,20210901 - 20210917,20210907,84.95
7,5213,20210901 - 20210917,20210908,82.41
7,5213,20210901 - 20210917,20210909,88.76
7,5213,20210901 - 20210917,20210910,83.48
7,5213,20210901 - 20210917,20210911,88.27
7,5213,20210901 - 20210917,20210912,54.39
7,5213,20210901 - 20210917,20210913,80.59
7,5213,20210901 - 20210917,20210914,83.81
7,5213,20210901 - 20210917,20210915,87.3
7,5213,20210901 - 20210917,20210916,90.88
7,5213,20210901 - 20210917,20210917,80.06
7,5219F,20210901 - 20210917,20210906,64.77
7,5219F,20210901 - 20210917,20210907,90.21
7,5219F,20210901 - 20210917,20210908,87.43
7,5219F,20210901 - 20210917,20210909,85.85
7,5219F,20210901 - 20210917,20210910,80.4
7,5219F,20210901 - 20210917,20210911,91.1
7,5219F,20210901 - 20210917,20210912,57.32
7,5219F,20210901 - 20210917,20210913,88.21
7,5219F,20210901 - 20210917,20210914,84.24
7,5219F,20210901 - 20210917,20210915,80.75
7,5219F,20210901 - 20210917,20210916,88.16
7,5219F,20210901 - 20210917,20210917,85.53
7,5220F,20210901 - 20210917,20210906,61.59
7,5220F,20210901 - 20210917,20210907,83.69
7,5220F,20210901 - 20210917,20210908,83.36
7,5220F,20210901 - 20210917,20210909,87.02
7,5220F,20210901 - 20210917,20210910,78.58
7,5220F,20210901 - 20210917,20210911,94.54
7,5220F,20210901 - 20210917,20210912,50.45
7,5220F,20210901 - 20210917,20210913,85.73
7,5220F,20210901 - 20210917,20210914,86.48
7,5220F,20210901 - 20210917,20210915,91.88
7,5220F,20210901 - 20210917,20210916,87.37
7,5220F,20210901 - 20210917,20210917,93.24
7,6421F,20210901 - 20210917,20210906,96.19
7,6421F,20210901 - 20210917,20210907,98.49
7,6421F,20210901 - 20210917,20210908,98.34
7,6421F,20210901 - 20210917,20210909,96.92
7,6421F,20210901 - 20210917,20210910,98.51
7,6421F,20210901 - 20210917,20210911,98.89
7,6421F,20210901 - 20210917,20210912,97.58
7,6421F,20210901 - 20210917,20210913,97.04
7,6421F,20210901 - 20210917,20210914,99.63
7,6421F,20210901 - 20210917,20210915,96.75
7,6421F,20210901 - 20210917,20210916,97.08
7,6421F,20210901 - 20210917,20210917,89.12
7,9969F,20210901 - 20210917,20210906,61.94
7,9969F,20210901 - 20210917,20210907,87.84
7,9969F,20210901 - 20210917,20210908,84.88
7,9969F,20210901 - 20210917,20210909,91.01
7,9969F,20210901 - 20210917,20210910,85.17
7,9969F,20210901 - 20210917,20210911,89.86
7,9969F,20210901 - 20210917,20210912,52.48
7,9969F,20210901 - 20210917,20210913,86.4
7,9969F,20210901 - 20210917,20210914,92.09
7,9969F,20210901 - 20210917,20210915,89.47
7,9969F,20210901 - 20210917,20210916,87.12
7,9969F,20210901 - 20210917,20210917,89.12
7,0801,20210901 - 20210917,20210906,74.58
7,0801,20210901 - 20210917,20210907,87.73
7,0801,20210901 - 20210917,20210908,90.67
7,0801,20210901 - 20210917,20210909,92.26
7,0801,20210901 - 20210917,20210910,90.36
7,0801,20210901 - 20210917,20210911,92.05
7,0801,20210901 - 20210917,20210912,88.76
7,0801,20210901 - 20210917,20210913,84.38
7,0801,20210901 - 20210917,20210914,88.79
7,0801,20210901 - 20210917,20210915,86.68
7,0801,20210901 - 20210917,20210916,93.38
7,0801,20210901 - 20210917,20210917,85.99
7,0811,20210901 - 20210917,20210906,78.22
7,0811,20210901 - 20210917,20210907,93.36
7,0811,20210901 - 20210917,20210908,86.88
7,0811,20210901 - 20210917,20210909,93.68
7,0811,20210901 - 20210917,20210910,93.42
7,0811,20210901 - 20210917,20210911,92.5
7,0811,20210901 - 20210917,20210912,93.49
7,0811,20210901 - 20210917,20210913,89.8
7,0811,20210901 - 20210917,20210914,92.26
7,0811,20210901 - 20210917,20210915,90.69
7,0811,20210901 - 20210917,20210916,93.79
7,0811,20210901 - 20210917,20210917,85.51
7,0821,20210901 - 20210917,20210906,77.98
7,0821,20210901 - 20210917,20210907,88.73
7,0821,20210901 - 20210917,20210908,84.89
