Line,Stop,Date,Score
1,8733,20210909,74.37
1,8733,20210910,80.59
1,8733,20210911,87.67
1,8733,20210912,83.24
1,8733,20210913,80.13
1,8733,20210914,82.92
1,8733,20210915,73.27
1,8733,20210916,84.85
1,8733,20210917,72.12
1,8733,20210918,87.64
1,8733,20210919,82.68
1,8733,20210920,70.3
1,8733,20210921,52.86
1,8742,20210906,69.2
1,8742,20210907,68.28
1,8742,20210908,52.45
1,8742,20210909,64.54
1,8742,20210910,62.58
1,8742,20210911,92.52
1,8742,20210912,97.38
1,8742,20210913,57.69
1,8742,20210914,54.2
1,8742,20210915,50.88
1,8742,20210916,58.19
1,8742,20210917,50.29
1,8742,20210918,93.6
1,8742,20210919,95.8
1,8742,20210920,49.17
1,8742,20210921,53.88
1,8742,20210906,77.88
1,8742,20210907,86.4
1,8742,20210908,82.43
1,8742,20210909,74.92
1,8742,20210910,81.11
1,8742,20210911,93.45
1,8742,20210912,78.29
1,8742,20210913,83.29
1,8742,20210914,78.82
1,8742,20210915,76.28
1,8742,20210916,84.31
1,8742,20210917,69.78
1,8742,20210918,92.43
1,8742,20210919,86.02
1,8742,20210920,39.47
1,8742,20210921,50.6
1,8011,20210906,65.34
1,8011,20210907,67.32
1,8011,20210908,51.0
1,8011,20210909,64.49
1,8011,20210910,58.09
1,8011,20210911,93.55
1,8011,20210912,87.32
1,8011,20210913,60.18
1,8011,20210914,50.19
1,8011,20210915,54.13
1,8011,20210916,50.55
1,8011,20210917,53.21
1,8011,20210918,91.46
1,8011,20210919,93.89
1,8011,20210920,62.13
1,8011,20210921,46.89
1,8011,20210906,74.42
1,8011,20210907,89.06
1,8011,20210908,82.48
1,8011,20210909,72.52
1,8011,20210910,79.68
1,8011,20210911,93.63
1,8011,20210912,72.04
1,8011,20210913,82.18
1,8011,20210914,82.4
1,8011,20210915,80.28
1,8011,20210916,80.69
1,8011,20210917,81.46
1,8011,20210918,88.9
1,8011,20210919,92.66
1,8011,20210920,35.79
1,8011,20210921,43.64
1,8021,20210906,64.37
1,8021,20210907,68.22
1,8021,20210908,47.03
1,8021,20210909,59.27
1,8021,20210910,58.08
1,8021,20210911,91.88
1,8021,20210912,78.09
1,8021,20210913,59.12
1,8021,20210914,45.61
1,8021,20210915,47.64
1,8021,20210916,53.37
1,8021,20210917,46.51
1,8021,20210918,93.47
1,8021,20210919,87.61
1,8021,20210920,56.78
1,8021,20210921,45.2
1,8021,20210906,76.58
1,8021,20210907,87.99
1,8021,20210908,76.96
1,8021,20210909,70.8
1,8021,20210910,81.25
1,8021,20210911,93.21
1,8021,20210912,75.06
1,8021,20210913,80.62
1,8021,20210914,82.25
1,8021,20210915,82.71
1,8021,20210916,81.18
1,8021,20210917,75.34
1,8021,20210918,92.38
1,8021,20210919,84.25
1,8021,20210920,53.89
1,8021,20210921,44.02
1,8031,20210906,64.47
1,8031,20210907,67.7
1,8031,20210908,44.72
1,8031,20210909,59.5
1,8031,20210910,57.77
1,8031,20210911,89.21
1,8031,20210912,76.81
1,8031,20210913,58.91
1,8031,20210914,51.39
1,8031,20210915,48.33
1,8031,20210916,53.34
1,8031,20210917,48.28
1,8031,20210918,93.27
1,8031,20210919,87.44
1,8031,20210920,54.78
1,8031,20210921,47.98
1,8031,20210906,76.67
1,8031,20210907,87.71
1,8031,20210908,76.21
1,8031,20210909,72.75
1,8031,20210910,81.12
1,8031,20210911,93.49
1,8031,20210912,79.38
1,8031,20210913,80.11
1,8031,20210914,83.68
1,8031,20210915,83.5
1,8031,20210916,82.82
1,8031,20210917,77.14
1,8031,20210918,91.82
1,8031,20210919,79.95
1,8031,20210920,52.04
1,8031,20210921,48.08
1,8041,20210906,66.37
1,8041,20210907,67.23
1,8041,20210908,41.52
1,8041,20210909,58.61
1,8041,20210910,56.08
1,8041,20210911,92.71
1,8041,20210912,84.8
1,8041,20210913,58.44
1,8041,20210914,54.9
1,8041,20210915,45.61
1,8041,20210916,55.32
1,8041,20210917,47.39
1,8041,20210918,93.23
1,8041,20210919,87.49
1,8041,20210920,54.76
1,8041,20210921,47.82
1,8041,20210906,78.31
1,8041,20210907,87.46
1,8041,20210908,77.88
1,8041,20210909,76.74
1,8041,20210910,79.04
1,8041,20210911,94.63
1,8041,20210912,78.5
1,8041,20210913,77.24
1,8041,20210914,84.48
1,8041,20210915,83.55
1,8041,20210916,86.5
1,8041,20210917,79.19
1,8041,20210918,91.83
1,8041,20210919,77.75
1,8041,20210920,53.38
