Line,Stop,Date,Real_date,Score
1,8052,20210901 - 20210917,20210916,92.19
1,8052,20210901 - 20210917,20210917,84.23
1,8062,20210901 - 20210917,20210906,92.95
1,8062,20210901 - 20210917,20210907,91.84
1,8062,20210901 - 20210917,20210908,89.32
1,8062,20210901 - 20210917,20210909,90.78
1,8062,20210901 - 20210917,20210910,88.44
1,8062,20210901 - 20210917,20210911,92.4
1,8062,20210901 - 20210917,20210912,89.1
1,8062,20210901 - 20210917,20210913,85.89
1,8062,20210901 - 20210917,20210914,94.9
1,8062,20210901 - 20210917,20210915,90.4
1,8062,20210901 - 20210917,20210916,94.47
1,8062,20210901 - 20210917,20210917,81.57
1,8072,20210901 - 20210917,20210906,91.0
1,8072,20210901 - 20210917,20210907,91.48
1,8072,20210901 - 20210917,20210908,93.88
1,8072,20210901 - 20210917,20210909,92.0
1,8072,20210901 - 20210917,20210910,88.26
1,8072,20210901 - 20210917,20210911,91.55
1,8072,20210901 - 20210917,20210912,89.07
1,8072,20210901 - 20210917,20210913,88.29
1,8072,20210901 - 20210917,20210914,92.67
1,8072,20210901 - 20210917,20210915,88.71
1,8072,20210901 - 20210917,20210916,92.04
1,8072,20210901 - 20210917,20210917,89.1
1,8082,20210901 - 20210917,20210906,90.15
1,8082,20210901 - 20210917,20210907,91.22
1,8082,20210901 - 20210917,20210908,91.34
1,8082,20210901 - 20210917,20210909,90.71
1,8082,20210901 - 20210917,20210910,83.3
1,8082,20210901 - 20210917,20210911,91.38
1,8082,20210901 - 20210917,20210912,89.97
1,8082,20210901 - 20210917,20210913,89.78
1,8082,20210901 - 20210917,20210914,95.79
1,8082,20210901 - 20210917,20210915,88.07
1,8082,20210901 - 20210917,20210916,91.37
1,8082,20210901 - 20210917,20210917,85.1
1,8092,20210901 - 20210917,20210906,91.38
1,8092,20210901 - 20210917,20210907,91.34
1,8092,20210901 - 20210917,20210908,90.84
1,8092,20210901 - 20210917,20210909,87.53
1,8092,20210901 - 20210917,20210910,83.35
1,8092,20210901 - 20210917,20210911,87.57
1,8092,20210901 - 20210917,20210912,90.05
1,8092,20210901 - 20210917,20210913,90.79
1,8092,20210901 - 20210917,20210914,94.76
1,8092,20210901 - 20210917,20210915,86.77
1,8092,20210901 - 20210917,20210916,94.94
1,8092,20210901 - 20210917,20210917,84.24
1,8102,20210901 - 20210917,20210906,90.78
1,8102,20210901 - 20210917,20210907,92.21
1,8102,20210901 - 20210917,20210908,90.3
1,8102,20210901 - 20210917,20210909,89.27
1,8102,20210901 - 20210917,20210910,83.52
1,8102,20210901 - 20210917,20210911,87.35
1,8102,20210901 - 20210917,20210912,87.85
1,8102,20210901 - 20210917,20210913,89.79
1,8102,20210901 - 20210917,20210914,94.59
1,8102,20210901 - 20210917,20210915,87.11
1,8102,20210901 - 20210917,20210916,95.37
1,8102,20210901 - 20210917,20210917,84.31
1,8112,20210901 - 20210917,20210906,89.44
1,8112,20210901 - 20210917,20210907,89.06
1,8112,20210901 - 20210917,20210908,89.99
1,8112,20210901 - 20210917,20210909,89.02
1,8112,20210901 - 20210917,20210910,83.73
1,8112,20210901 - 20210917,20210911,86.82
1,8112,20210901 - 20210917,20210912,88.7
1,8112,20210901 - 20210917,20210913,86.72
1,8112,20210901 - 20210917,20210914,94.65
1,8112,20210901 - 20210917,20210915,86.93
1,8112,20210901 - 20210917,20210916,92.04
1,8112,20210901 - 20210917,20210917,84.88
1,8122,20210901 - 20210917,20210906,91.76
1,8122,20210901 - 20210917,20210907,91.07
1,8122,20210901 - 20210917,20210908,88.9
1,8122,20210901 - 20210917,20210909,93.24
1,8122,20210901 - 20210917,20210910,89.18
1,8122,20210901 - 20210917,20210911,91.21
1,8122,20210901 - 20210917,20210912,90.11
1,8122,20210901 - 20210917,20210913,86.49
1,8122,20210901 - 20210917,20210914,93.15
1,8122,20210901 - 20210917,20210915,87.79
1,8122,20210901 - 20210917,20210916,94.12
1,8122,20210901 - 20210917,20210917,90.17
1,8132,20210901 - 20210917,20210906,90.41
1,8132,20210901 - 20210917,20210907,90.53
1,8132,20210901 - 20210917,20210908,91.91
1,8132,20210901 - 20210917,20210909,91.89
1,8132,20210901 - 20210917,20210910,87.86
1,8132,20210901 - 20210917,20210911,90.25
1,8132,20210901 - 20210917,20210912,90.33
1,8132,20210901 - 20210917,20210913,85.28
1,8132,20210901 - 20210917,20210914,94.69
1,8132,20210901 - 20210917,20210915,88.13
1,8132,20210901 - 20210917,20210916,93.46
1,8132,20210901 - 20210917,20210917,86.76
1,8142,20210901 - 20210917,20210906,89.5
1,8142,20210901 - 20210917,20210907,87.31
1,8142,20210901 - 20210917,20210908,88.76
1,8142,20210901 - 20210917,20210909,94.48
1,8142,20210901 - 20210917,20210910,86.5
1,8142,20210901 - 20210917,20210911,90.67
1,8142,20210901 - 20210917,20210912,86.87
1,8142,20210901 - 20210917,20210913,86.97
1,8142,20210901 - 20210917,20210914,94.47
1,8142,20210901 - 20210917,20210915,87.12
1,8142,20210901 - 20210917,20210916,89.71
1,8142,20210901 - 20210917,20210917,85.78
1,8152,20210901 - 20210917,20210906,88.29
1,8152,20210901 - 20210917,20210907,91.01
1,8152,20210901 - 20210917,20210908,88.87
1,8152,20210901 - 20210917,20210909,91.99
1,8152,20210901 - 20210917,20210910,85.94
1,8152,20210901 - 20210917,20210911,91.8
1,8152,20210901 - 20210917,20210912,86.22
1,8152,20210901 - 20210917,20210913,85.88
1,8152,20210901 - 20210917,20210914,93.25
1,8152,20210901 - 20210917,20210915,87.95
1,8152,20210901 - 20210917,20210916,94.25
1,8152,20210901 - 20210917,20210917,89.56
1,8272,20210901 - 20210917,20210906,92.48
1,8272,20210901 - 20210917,20210907,89.52
1,8272,20210901 - 20210917,20210908,92.5
1,8272,20210901 - 20210917,20210909,95.0
1,8272,20210901 - 20210917,20210910,89.79
1,8272,20210901 - 20210917,20210911,89.64
1,8272,20210901 - 20210917,20210912,92.29
1,8272,20210901 - 20210917,20210913,84.61
1,8272,20210901 - 20210917,20210914,90.06
1,8272,20210901 - 20210917,20210915,87.69
1,8272,20210901 - 20210917,20210916,95.17
1,8272,20210901 - 20210917,20210917,88.77
1,8282,20210901 - 20210917,20210906,92.95
1,8282,20210901 - 20210917,20210907,87.91
1,8282,20210901 - 20210917,20210908,88.78
1,8282,20210901 - 20210917,20210909,93.28
1,8282,20210901 - 20210917,20210910,89.14
1,8282,20210901 - 20210917,20210911,91.31
1,8282,20210901 - 20210917,20210912,92.26
1,8282,20210901 - 20210917,20210913,90.41
1,8282,20210901 - 20210917,20210914,91.47
1,8282,20210901 - 20210917,20210915,89.47
1,8282,20210901 - 20210917,20210916,91.1
1,8282,20210901 - 20210917,20210917,89.04
1,8292,20210901 - 20210917,20210906,90.44
1,8292,20210901 - 20210917,20210907,93.08
1,8292,20210901 - 20210917,20210908,92.85
1,8292,20210901 - 20210917,20210909,90.49
1,8292,20210901 - 20210917,20210910,91.08
1,8292,20210901 - 20210917,20210911,90.03
1,8292,20210901 - 20210917,20210912,93.34
1,8292,20210901 - 20210917,20210913,91.14
1,8292,20210901 - 20210917,20210914,93.71
1,8292,20210901 - 20210917,20210915,88.25
1,8292,20210901 - 20210917,20210916,92.65
1,8292,20210901 - 20210917,20210917,88.23
1,8733,20210901 - 20210917,20210906,91.61
1,8733,20210901 - 20210917,20210907,88.54
1,8733,20210901 - 20210917,20210908,83.64
1,8733,20210901 - 20210917,20210909,88.0
1,8733,20210901 - 20210917,20210910,86.63
1,8733,20210901 - 20210917,20210911,87.09
1,8733,20210901 - 20210917,20210912,87.75
1,8733,20210901 - 20210917,20210913,84.47
1,8733,20210901 - 20210917,20210914,79.71
1,8733,20210901 - 20210917,20210915,82.91
1,8733,20210901 - 20210917,20210916,87.22
1,8733,20210901 - 20210917,20210917,84.07
1,8742,20210901 - 20210917,20210906,90.62
1,8742,20210901 - 20210917,20210907,93.67
1,8742,20210901 - 20210917,20210908,95.51
1,8742,20210901 - 20210917,20210909,93.85
1,8742,20210901 - 20210917,20210910,91.52
1,8742,20210901 - 20210917,20210911,87.11
1,8742,20210901 - 20210917,20210912,87.03
1,8742,20210901 - 20210917,20210913,88.48
1,8742,20210901 - 20210917,20210914,91.34
1,8742,20210901 - 20210917,20210915,90.18
1,8742,20210901 - 20210917,20210916,91.95
1,8742,20210901 - 20210917,20210917,87.3
2,8381,20210901 - 20210917,20210906,91.8
2,8381,20210901 - 20210917,20210907,92.89
2,8381,20210901 - 20210917,20210908,93.79
2,8381,20210901 - 20210917,20210909,94.89
2,8381,20210901 - 20210917,20210910,97.33
2,8381,20210901 - 20210917,20210911,93.28
2,8381,20210901 - 20210917,20210912,94.67
2,8381,20210901 - 20210917,20210913,94.79
2,8381,20210901 - 20210917,20210914,88.65
2,8381,20210901 - 20210917,20210915,92.34
2,8381,20210901 - 20210917,20210916,92.44
2,8381,20210901 - 20210917,20210917,96.34
2,8743,20210901 - 20210917,20210906,90.49
2,8743,20210901 - 20210917,20210907,93.12
2,8743,20210901 - 20210917,20210908,93.32
2,8743,20210901 - 20210917,20210909,96.94
2,8743,20210901 - 20210917,20210910,97.03
2,8743,20210901 - 20210917,20210911,92.32
2,8743,20210901 - 20210917,20210912,95.9
2,8743,20210901 - 20210917,20210913,95.81
2,8743,20210901 - 20210917,20210914,90.04
2,8743,20210901 - 20210917,20210915,92.61
2,8743,20210901 - 20210917,20210916,93.78
2,8743,20210901 - 20210917,20210917,95.32
2,8753,20210901 - 20210917,20210906,90.58
2,8753,20210901 - 20210917,20210907,92.09
2,8753,20210901 - 20210917,20210908,94.47
2,8753,20210901 - 20210917,20210909,96.68
2,8753,20210901 - 20210917,20210910,96.88
2,8753,20210901 - 20210917,20210911,93.03
2,8753,20210901 - 20210917,20210912,95.0
2,8753,20210901 - 20210917,20210913,88.52
2,8753,20210901 - 20210917,20210914,92.82
2,8753,20210901 - 20210917,20210915,93.84
2,8753,20210901 - 20210917,20210916,93.0
2,8753,20210901 - 20210917,20210917,96.46
2,8763,20210901 - 20210917,20210906,91.6
2,8763,20210901 - 20210917,20210907,92.14
2,8763,20210901 - 20210917,20210908,92.34
2,8763,20210901 - 20210917,20210909,97.68
2,8763,20210901 - 20210917,20210910,98.05
2,8763,20210901 - 20210917,20210911,91.7
2,8763,20210901 - 20210917,20210912,93.57
2,8763,20210901 - 20210917,20210913,92.39
2,8763,20210901 - 20210917,20210914,89.51
2,8763,20210901 - 20210917,20210915,96.37
2,8763,20210901 - 20210917,20210916,91.03
2,8763,20210901 - 20210917,20210917,92.37
2,8301,20210901 - 20210917,20210906,94.9
2,8301,20210901 - 20210917,20210907,90.49
2,8301,20210901 - 20210917,20210908,97.2
2,8301,20210901 - 20210917,20210909,97.93
2,8301,20210901 - 20210917,20210910,97.58
2,8301,20210901 - 20210917,20210911,93.08
2,8301,20210901 - 20210917,20210912,94.0
2,8301,20210901 - 20210917,20210913,96.08
2,8301,20210901 - 20210917,20210914,92.05
2,8301,20210901 - 20210917,20210915,95.27
2,8301,20210901 - 20210917,20210916,92.19
2,8301,20210901 - 20210917,20210917,95.42
2,8311,20210901 - 20210917,20210906,92.73
2,8311,20210901 - 20210917,20210907,92.75
2,8311,20210901 - 20210917,20210908,97.51
2,8311,20210901 - 20210917,20210909,98.19
2,8311,20210901 - 20210917,20210910,97.75
2,8311,20210901 - 20210917,20210911,93.5
2,8311,20210901 - 20210917,20210912,94.85
2,8311,20210901 - 20210917,20210913,96.28
2,8311,20210901 - 20210917,20210914,92.51
2,8311,20210901 - 20210917,20210915,92.8
2,8311,20210901 - 20210917,20210916,94.28
2,8311,20210901 - 20210917,20210917,95.81
2,8321,20210901 - 20210917,20210906,95.08
2,8321,20210901 - 20210917,20210907,92.77
2,8321,20210901 - 20210917,20210908,97.58
2,8321,20210901 - 20210917,20210909,96.58
2,8321,20210901 - 20210917,20210910,97.62
2,8321,20210901 - 20210917,20210911,92.5
2,8321,20210901 - 20210917,20210912,94.12
2,8321,20210901 - 20210917,20210913,97.18
2,8321,20210901 - 20210917,20210914,91.34
2,8321,20210901 - 20210917,20210915,93.62
2,8321,20210901 - 20210917,20210916,93.63
2,8321,20210901 - 20210917,20210917,93.29
2,8331,20210901 - 20210917,20210906,94.25
2,8331,20210901 - 20210917,20210907,92.98
2,8331,20210901 - 20210917,20210908,97.09
2,8331,20210901 - 20210917,20210909,96.73
2,8331,20210901 - 20210917,20210910,97.78
2,8331,20210901 - 20210917,20210911,93.47
2,8331,20210901 - 20210917,20210912,95.67
2,8331,20210901 - 20210917,20210913,96.86
2,8331,20210901 - 20210917,20210914,91.68
2,8331,20210901 - 20210917,20210915,94.29
2,8331,20210901 - 20210917,20210916,93.15
2,8331,20210901 - 20210917,20210917,94.57
2,8341,20210901 - 20210917,20210906,92.85
2,8341,20210901 - 20210917,20210907,91.84
2,8341,20210901 - 20210917,20210908,95.83
2,8341,20210901 - 20210917,20210909,97.19
2,8341,20210901 - 20210917,20210910,96.92
